,Monitoring_Location_Name,Mean,Max,Min,Data_Points
2849,Clovis-N Villa Avenue,25.770710248681233,587.85,-4.97,15924
2899,Glendora-Laurel,31.574893592210366,614.0,0.0,17151
2948,Arroyo Grande-2391 Willow Road,14.032391317419277,846.0,-3.5,16631
2955,Roseville-N Sunrise Blvd,21.43918152586963,758.6,-3.4,17105
2956,Sacramento-T Street,21.50041108762039,576.3,-3.3,17028
3011,Los Angeles-North Main Street,26.148187249840475,985.0,-3.3,17239
3026,Paso Robles-Santa Fe Avenue,46.94791586998088,949.3,-13.5,13075
3154,Keeler-Cerro Gordo Road,19.821571215425227,1987.6,-12.5,17426
3658,Lancaster-43301 Division Street,26.1404599859188,844.0,-5.0,17044
3762,South Lake Tahoe-Sandy Way,28.101992966002346,600.0,-4.0,17060
